Address,Size,Value
Found 42828 ASCII strings.,,
1D3E0h,Ch,ApphelpDebug
1D43Ch,Ch,shimengstate
1D498h,Ch,ShimDebugLog
6866Ah,5h,wywkb
6E62Dh,5h,Tandy
71602h,7h,fffffff
71BB6h,6h,ffffff
71F16h,6h,ffffff
72038h,8h,66666666
72048h,8h,66666666
72068h,18h,666666666666666666666666
72188h,18h,666666666666670766666666
72305h,7h,lllllll
72492h,5h,lllll
725DCh,6h,ffffff
72ADAh,5h,fffff
72DCEh,5h,fffff
72ECCh,6h,666666
72EDAh,6h,666666
72EF6h,14h,66666666666666666666
72FF2h,14h,66666666666707666666
7313Fh,6h,llllll
7329Ah,5h,lllll
73368h,5h,fffff
733D8h,5h,0xx00
73518h,7h,x00000x
73572h,5h,0000x
7361Ah,5h,p000x
73630h,7h,p00000x
7372Ah,5h,p000x
7373Ah,5h,p000x
737DAh,5h,p000x
7389Dh,Bh,66666666666
7392Dh,Bh,66666707666
739EAh,5h,lllll
73AB0h,5h,xllll
73DE1h,6h,Trio64
73E05h,8h,Emulator
1509480h,7h,HARVEST
1635625h,7h,fffffff
1636189h,6h,ffffff
1636849h,6h,ffffff
1636A8Bh,8h,66666666
1636AABh,8h,66666666
1636AEBh,8h,66666666
1636B03h,10h,6666666666666666
1636B2Bh,8h,66666666
1636CA3h,10h,6666666766666666
1636CE9h,Ah,0766666666
1636D2Bh,8h,66666666
1636D43h,10h,6666670766666666
1636D8Bh,8h,66666666
1636E0Bh,8h,66666666
1636E8Bh,8h,66666666
1636EABh,8h,66666666
1637028h,7h,lllllll
1637345h,5h,lllll
18127A8h,6h,ABCDWX
1D2E615h,11h,E_WASP_WOMAN_DIED
1D4C9F9h,Ah,0123456789
1D4CA59h,Ah,0123456789
1D4CACCh,18h,xX0123456789abcdefABCDEF
1D50B72h,Bh,SDL_CDClose
1D50B82h,Bh,SDL_CDEject
1D50B92h,Ah,SDL_CDName
1D50BA2h,Fh,SDL_CDNumDrives
1D50BB6h,Ah,SDL_CDOpen
1D50BC6h,Bh,SDL_CDPause
1D50BD6h,Ah,SDL_CDPlay
1D50BE6h,Ch,SDL_CDResume
1D50BF6h,Ch,SDL_CDStatus
1D50C06h,Ah,SDL_CDStop
1D50C16h,Fh,SDL_CreateMutex
1D50C2Ah,14h,SDL_CreateRGBSurface
1D50C42h,18h,SDL_CreateRGBSurfaceFrom
1D50C5Eh,14h,SDL_CreateYUVOverlay
1D50C76h,9h,SDL_Delay
1D50C82h,10h,SDL_DestroyMutex
1D50C96h,15h,SDL_DisplayYUVOverlay
1D50CAEh,Ch,SDL_FillRect
1D50CBEh,8h,SDL_Flip
1D50CCAh,Fh,SDL_FreeSurface
1D50CDEh,12h,SDL_FreeYUVOverlay
1D50CF6h,13h,SDL_GL_SetAttribute
1D50D0Eh,12h,SDL_GL_SwapBuffers
1D50D26h,Ch,SDL_GetError
1D50D36h,Eh,SDL_GetKeyName
1D50D4Ah,Fh,SDL_GetModState
1D50D5Eh,Ch,SDL_GetTicks
1D50D6Eh,8h,SDL_Init
1D50D7Ah,11h,SDL_InitSubSystem
1D50D8Eh,11h,SDL_JoystickClose
1D50DA2h,16h,SDL_JoystickEventState
